rel_x,rel_y,screen_x,screen_y
0.4776587290478638,0.5026900763793121,360,225
0.4985700945019698,0.5173719829538508,360,225
0.4703593138640122,0.44514050712129083,360,225
0.4976290267204294,0.4324148789760421,360,225
0.489993328730274,0.4073301759977618,360,225
0.5120465933833058,0.423406469700251,360,225
0.47223253655807135,0.42312640973658455,360,225
0.48533245372951966,0.40597728181559833,360,225
0.517540065121362,0.45886617448258327,360,225
0.5109511639077575,0.45811338263253465,360,225
0.5328118949200675,0.49544958130709404,360,225
0.516575919628115,0.48279741283696553,360,225
0.5357995653958331,0.47700788741887673,360,225
0.5032978086344877,0.425778456677301,360,225
0.5174268058615022,0.4185266288135792,360,225
0.5299685645494481,0.40186642561648606,360,225
0.4756993941349845,0.3891938986766097,360,225
0.48379226925332774,0.35422337717594454,360,225
0.46303645664803117,0.3947704212917754,360,225
0.4871418118244226,0.40755156406033405,360,225
0.48096211122216115,0.41963727279169366,360,225
0.4978109449891358,0.4308626269109843,360,225
0.4592131471021351,0.43480721684137374,360,225
0.48245820958921215,0.4180336977683479,360,225
0.47827386157624774,0.42435599219541065,360,225
0.4816651449928763,0.40922705695127093,360,225
0.4623994689704095,0.4156376086764412,360,225
0.45270799182110333,0.40787993090589414,360,225
0.4696694011061312,0.4194673360317619,360,225
0.47880212900077834,0.38819912802921647,360,225
0.481417146678177,0.39161970794868894,720,225
0.4838280542518047,0.3594781806900912,720,225
0.49327381826071315,0.39568507315770685,720,225
0.482714509285575,0.38687632698561975,720,225
0.5054526501565304,0.4122476794025366,720,225
0.49322931762844413,0.4076072198808461,720,225
0.4873631304341314,0.395694942577026,720,225
0.5141086208724976,0.4015247489461584,720,225
0.5160217190146457,0.3841522579771015,720,225
0.4942624519154424,0.4144137265149912,720,225
0.495344594990325,0.39078930217542257,720,225
0.5021358426088643,0.3905252605056625,720,225
0.4969177449833925,0.38858340880902775,720,225
0.5067726416482415,0.3784302027084849,720,225
0.5089311406643366,0.3923292389715981,720,225
0.5113581967715312,0.39683236402934563,720,225
0.5140811455205953,0.39849056301775837,720,225
0.5096112200493947,0.39834663000261417,720,225
0.5078578671829805,0.40033021284071035,720,225
0.5157303954385609,0.3964170415317079,720,225
0.5160719860213945,0.4097301247508993,720,225
0.5140662740880328,0.4094292110749397,720,225
0.5182434997648591,0.42388687516142587,720,225
0.5239906261963627,0.41471202099087656,720,225
0.524402028082396,0.42388277808726565,720,225
0.5308177671837584,0.42277155944806166,720,225
0.5281564805175833,0.3970672269596453,720,225
0.5336645982261528,0.3933234588365128,720,225
0.5292524782215168,0.40537625547127787,720,225
0.5355788955985783,0.41366946709887875,720,225
0.530437429197913,0.4155683020733904,1080,225
0.5235844154662881,0.42155023862881347,1080,225
0.5190421190030969,0.4057278146155223,1080,225
0.5267378579975979,0.40504894811775816,1080,225
0.5249379921426054,0.41268142850825507,1080,225
0.5196289432145416,0.4075786143789747,1080,225
0.5523233531405218,0.41190086402204973,1080,225
0.5487064231744643,0.4303241742194481,1080,225
0.5493890054885555,0.4041559438169138,1080,225
0.552440236593186,0.40462705420707346,1080,225
0.5558226238684953,0.4214516620071306,1080,225
0.571864150935451,0.427701356357287,1080,225
0.5736665314322087,0.407124900844336,1080,225
0.565710687661604,0.42062278603553194,1080,225
0.5791393602456791,0.4149197554751617,1080,225
